resort_name,price,rateing,discription,links
,,,,
Licensed 2 bedroom apt. with unique outdoor space,"₹2,999
/ night",5.0,4 guests · 2 bedrooms · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/39593709?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Striking Penthouse With Private Plunge Pool,"₹11,143
/ night",4.93,2 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40070406?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Kimaya Suite- Luxury 2 Bedroom Apartment With Pool,"₹944
/ night",4.85,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/44514382?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Luxury Sea View Apartment At Dona Paula!!,"₹5,680
/ night",4.76,4 guests · 2 bedrooms · 2 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/32086143?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Cozy AC Apartment with Kitchen near Baga Beach,"₹1,294
/ night",4.78,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/31613905?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Lavish Sea View Apartment!!,"₹6,085
/ night",4.89,6 guests · 2 bedrooms · 6 beds · 3.5 bathrooms,https://www.airbnb.co.in/rooms/30622310?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
2 Bedrooms Boutique Flat Near Baga Beach by Hottly,"₹2,107
/ night",no rating,6 guests · 2 bedrooms · 2 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/50837888?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
1BHK-2/WiFi/AC/Powr BackUp Candolim Beach Homestay,"₹799
/ night",4.98,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/45968872?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Luxury Dream Penthouse With a Private Plunge Pool,"₹6,946
/ night",4.71,6 guests · 3 bedrooms · 3 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/37165500?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Grand - Sea cliff - cottage in South Goa,"₹4,494
/ night",no rating,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/34911705?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Charming 1BR With POOL Nr Anjuna Vagator Beach,"₹1,399
/ night",4.94,5 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/40816567?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Dream catcher 3 bedroom luxury villa,"₹15,929
/ night",4.81,8 guests · 3 bedrooms · 4 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/33797124?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Boho chic YELLOW ROOM mountain view & fast wifi,"₹929
/ night",4.92,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47128901?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
STELLAR ASSAGAO 3BHK VILLA CLOSE TO ANJUNA VAGATOR,"₹18,557
/ night",4.83,6 guests · 3 bedrooms · 3 beds · 3.5 bathrooms,https://www.airbnb.co.in/rooms/38209684?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Forest view 1bhk,"₹1,047
/ night",4.86,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/36890849?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
VILLA HILLVIEW(2bhk)with fast speed internet,"₹2,803
/ night",4.87,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/22557353?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Amazing Infinity Pool Sea View! - 1 BHK by Kabella,"₹1,764
/ night",4.83,4 guests · 1 bedroom · 4 beds · 1 bathroom,https://www.airbnb.co.in/rooms/39964558?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Candolim Paradise Luxury 1bhk North Goa,"₹1,001
/ night",4.75,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/48000843?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
The Fern: Artsy 1BHK | close to the beach|Fully AC,"₹2,200
/ night",4.72,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/39581465?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
Private Pool villa - Chapora- 10min from beach,"₹13,800
/ night",no rating,5 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46647480?previous_page_section_name=1000&translate_ugc=false&federated_search_id=0af533f0-686d-496c-ad96-5bf2912834d6
AWESOME 1BHK NR ANJUNA & VAGATOR BEACH,"₹1,142
/ night",4.63,4 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/45908418?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Plush Penthouse With Private Plunge Pool,"₹11,071
/ night",4.87,2 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40073402?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
"Casa Sea-Esta, Beach view studio apt - Dona Paula","₹1,200
/ night",4.62,3 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/34160311?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Xavier's Guest House Deluxe Room,"₹999
/ night",4.89,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/39852455?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Modern & well-equipped Apt. 7 mins to the beach,"₹1,090
/ night",4.77,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/33447035?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Beautiful Duplex Two Bedroom Apartment 1208,"₹1,499
/ night",4.95,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46910894?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Peaceful Hill Stay 1BHK for 👫Couples,"₹900
/ night",4.92,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47219407?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Unique Green Studio apartment in Reis Magos,"₹4,025
/ night",4.60,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/40514889?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Exquisite 2BHK PoolView Flat in Anjuna Vagator,"₹3,785
/ night",5.0,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46186764?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
1BHK-4 Power Backup AC Wi-Fi Home @ Candolim Beach,"₹930
/ night",5.0,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47043264?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
2 BR With Common Pool / Wifi / TV / Vagator,"₹1,928
/ night",no rating,6 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/50818805?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
Xavier's Guest House Standard Classic Room,"₹899
/ night",4.85,2 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/39986130?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
"1BR BLUEWHITE SUITE w POOL, GYM & TT nr BAGA BEACH","₹1,495
/ night",4.78,4 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/39128660?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4bf8b677-ae30-4b4c-aced-87a51d666b14
